review,Hotel#General,Hotel#Price,Hotel#Designs_Features,Hotel#Cleanliness,Hotel#Comfort,Hotel#Quality,Hotel#Miscellaneous,Rooms#General,Rooms#Price,Rooms#Designs_Features,Rooms#Cleanliness,Rooms#Comfort,Rooms#Quality,Rooms#Miscellaneous,Room_amenities#General,Room_amenities#Price,Room_amenities#Designs_Features,Room_amenities#Cleanliness,Room_amenities#Comfort,Room_amenities#Quality,Room_amenities#Miscellaneous,Facilities#General,Facilities#Price,Facilities#Designs_Features,Facilities#Cleanliness,Facilities#Comfort,Facilities#Quality,Facilities#Miscellaneous,Service#General,Location#General,Food_Drinks#Price,Food_Drinks#Quality,Food_Drinks#Style_Options,Food_Drinks#Miscellaneous
mọi thứ đều hài lòng! nhân viên rất tận tình chu đáo.,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"phòng rộng rãi, ăn sáng phong phú",,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,Positive,
"Phòng đẹp, sạch sẽ, đồ ăn ngon. Dịch vụ ok",Positive,,,,,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,Positive,,
"Nhân viên thân thiện, nhiệt tình. Khách sạn sắp xếp cho gia đình tôi có view mặt tiền. Không gian đẳng cấp",,,Positive,,,,,Positive,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
Rất đáng đồng tiền. Phòng ốc khang trang.,Positive,Positive,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,
"Check in & nhận phòng rất lâu, phòng chờ chật hẹp, phòng vệ sinh không được sạch sẽ (rất nhiều bụi)",,,,,,,,,,,,,,,,,Negative,,,,,,,Negative,,,,,Negative,,,,,
"Lễ tân linh động, vị trí trung tâm thuận tiện đi lại",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"Dịch vụ tốt, nhân viên nhiệt tình, thân thiện",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Phòng sạch sẽ, thuận tiện đi lại, nhân viên thân thiện",,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"Khách sạn sạch sẽ, nhân viên nhiệt tình, vị trí thuận tiện. Tuy nhiên có chút góp ý là ko nên thuê xe bảo vệ giới thiệu vì giá đắt 200k/xe/ngày và có dấu hiệu cò cưa",,,,Positive,,,,,,,,,,,,,,,,,,,Negative,,,,,,Positive,Positive,,,,
"Không gian rộng rãi thoáng mát và dịch vụ khách sạn cung cấp rất tốt, từ dịch vụ đưa tiễn sân bay cho đến check in, nhân viên rất dễ thương Bữa ăn sáng ngon miệng",,,Positive,,Positive,,,,,,,,,,,,,,,,,,,Positive,,,,,Positive,,,Positive,,
"View quá đẹp so với giá thành Nhân viên nhiệt tình,phục vụ rất tốt Lần sau sẽ tiếp tục ủng hộ khách sạn này",Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Nhân viên lễ tân thân thiện, nhiệt tình, chu đáo. Phòng nghỉ nhỏ nhưng sạch sẽ, ấm cúng",,,,,,,,,,Negative,Positive,Positive,,,,,,,,,,,,,,,,,Positive,,,,,
"Khách sạn ở ngay khu trung tâm, rất tiện đi lại, hàng quán xung quanh rất nhiều. Phòng tuy không lớn nhưng đầy đủ tiện nghi.",,,,,,,,,,Negative,,,,,Positive,,,,,,,,,,,,,,,Positive,,,,
"Nhân viên thiếu chuyên nghiệp, 2h check in nhưng lễ tân báo chưa dọn phòng xong chờ tới 2h40', ăn sáng ít món, chủ yếu thịt nguội với bánh mì, xa trung tâm thành phố nhưng không có hỗ trợ các dịch vụ phụ thêm (ví dụ thuê xe máy, ôtô,...) xe phục vụ đưa đón từ khách sạn vô trung tâm ít chuyến, sáng 9h chiều 2h. không đáp ứng được nhu cầu đi lại của khách lưu trú. Khách check in lúc 2 giờ và muốn đi trung tâm trong buổi chiều thì sẽ không kịp xe hoặc vô trung tâm buổi sáng thì không kịp giờ trở về check out lúc 12h.",,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,Negative,Negative,,,Negative,
Phục vụ chu đáo va nhiệt tình.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Vị trí thuận tiện, phòng ốc sạch sẽ và mới. Nhân viên thân thiện và nhiệt tình. Điểm trừ là nếu khách thanh toán bằng thẻ tín dụng (Visa/Master) sẽ bị tính phí khoảng 3%",,,,,,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"Chỗ ở ok, phòng nhỏ không được đẹp như hình",,,,,,,,Neutral,,Negative,,,,,,,,,,,,,,,,,,,,,,,,
"Chất lượng oke, tuy nhiên có 1 điểm hơi bất tiện là dạng phòng mình ở chỉ có 1 ổ cắm bên ngoài.",,,,,,Positive,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,
"Phòng đẹp sạch sẽ, món ăn sáng ngon, nhân viên thân thiện, giá hợp lý",,Positive,,,,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,Positive,,,Positive,,
"Moi dịp nghi duong tai Da Lat, Edensee la lua chon duy nhat cua gia dinh toi! Tat ca moi thu deu rat tuyet! Da đen 2 lan va se con tiep tuc den nua!",Positive,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuyệt vời ♥️♥️♥️Đáng thử tuy hơi xa trung tâm,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,
"Sạch sẽ nhiệt tình, ổn áp nhất bờ biển Nha Trang. Mình ở cả Anya Premier cũng rất đẹp",Positive,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Giờ checkin là 14:00 nhưng lúc 15:00 mình tới thì phải đợi vì lí do đang dọn phòng. Phòng dọn không sạch sẽ, dịch vụ không quá tốt",Negative,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,Negative,,,,,
Ksan hơi cũ nhưng cơ bản là ở được với giá tiền đó.,,Positive,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"phòng rộng, thoáng, đẹp. nhân viên nhiệt tình",,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Đồ ăn ngon, thái độ phục vụ perfect, hỗ trợ mọi thứ ok. 10 điểm, refer mn đến đây có view chụp hình triệu đô",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,Positive,,
"Khách sạn lúc tới nhận phòng còn đang dọn, khăn đồ dùng các thứ còn thiếu, mà lúc về kiểm phòng nói mất đôi dép, nhân viên không nhiệt tình, thái độ với khách thì hờ hững mặc kệ. Phòng trong góc, không như hình ảnh lấy phòng đẹp quảng cáo!",,,,,,,,Negative,,,Negative,,,,,,Negative,,,,,,,,,,,,Negative,,,,,
"Phòng rộng rãi, sạch sẽ, các thiết bị trong phòng đẹp, tiện nghi. Buffe khá nhiều món.",,,,,,,,,,Positive,Positive,,,,Positive,,,,,,,,,,,,,,,,,,Positive,
"Ấn tượng với nội thất và tiện nghi. Thức ăn ngon, hồ bơi rộng.",,,,,,,,,,,,,,,Positive,,,,,,,,,Positive,,,,,Positive,,,Positive,,
"Khách sạn tuy đã cũ nhiều, đồ đạc không còn mới, nhưng tương đối sạch sẽ và dễ chịu. Nhân viên dễ thương và hữu ích. Đồ ăn sáng tuy không phong phú như ngày trước nhưng dễ ăn, chấp nhận được",,,Negative,Positive,Positive,,,,,,,,,,,,,,,,,,,Negative,,,,,Positive,,,Positive,Negative,
Phòng sạch sẽ thoải mái dịch vụ tốt,Positive,,,,,,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,
"Vị trí thuận lợi di chuyển, tivi xem bóng đá ok, lễ tân linh động chuyển phòng cho khách",,,,,,,,,,,,,,,,,Positive,,,,,,,,,,,,Positive,Positive,,,,
"Phòng đẹp, lễ tân nhẹ nhàng, rất thoả mái. Mọi người chú ý thời gian đặt phòng. Trên app thể hiện đặt 1 đêm nhưng khi đặt xong thì chỉ được 2h đến kháchsạn phải nộp tiền phụ thu thêm.",,,,,,,Negative,,,Positive,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Phòng có mùi, dọn dẹp vệ sinh không sạch sẽ",,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,
"Tôi đã có một kì nghỉ thật dễ chịu cùng gia đình ở đây. Phòng sạch sẽ, thoáng mát, phục vụ nhiệt tình, chu đáo",,,,,Positive,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,Positive,,,,,
"Khách sạn sạch sẽ, tiện nghi đi lại ạ.",,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tuyệt vời, view rất đẹp. Sẽ trở lại nơi này!",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mình chấm 10 điểm cho khách sạn vào ban ngày và 3 điểm vào ban đêm. Khách sạn rất tiện nghi , nội thất rất chỉnh chu xịn xò , phòng rất rộng và thoáng mát , view rất đẹp , nhân viên nhiệt tình dễ thương , kitchen lounge rất rộng rải và sáng sủa , đồ ăn ngon , sảnh chờ sang trọng, cách bố trí layout phòng ốc rất hợp lý … Mình cực kì hài lòng. Nhưng cách âm tệ quá , tiếng cười nói ngoài hành lang vang to sau 10h tối ! Tiếng chó sủa lúc 2h đêm 2 đêm liền mình không ngủ ngon. Có thể mình khó tính về tiếng ồn.",Positive,,Positive,,Positive,,,Positive,,Neutral,,Negative,,,,,,,,,,,,Positive,,,,,Positive,,,Positive,,
Phòng mới làm lại sạch sẽ. Nhân viên nhiệt tình.,,,,,,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,Positive,,,,,
"Nhân viên từ lễ tân, nhân viên giữ xe đến dọn phòng, nhân viên bếp ai cũng nhiệt tình vui vẻ, phòng tuy hơi nhỏ nhưng rất ok gọn gàng, sạch sẽ, buffet sáng lúc nào cũng được hâm nóng. Kết lại nếu lên đà lạt lần nữa thì sẽ ghé lại đây",Positive,,,,,,,,,Negative,Positive,,,,,,,,,,,,,,,,,,Positive,,,Positive,,
"Phòng đẹp, buffet sáng ngon, view thành phố về đêm lung linh",,,,,,,,Positive,,Positive,,,,,,,,,,,,,,,,,,,,,,Positive,,
"Phòng ốc sạch sẽ, trang thiết bị ok. Nhân viên nhiệt tình, dễ thương. Với tầm giá này thì khách sạn rất ok. Có cơ hội mình sẽ quay lại tiếp. Nhân viên cũng đều là trai xinh gái đẹp nè ^^",Positive,Positive,,,,,,,,,Positive,,,,Positive,,,,,,,,,,,,,,Positive,,,,,
"An sáng ngon, phong sach se, ho boi rong va dep",,,,,,,,,,,Positive,,,,,,,,,,,,,Positive,,,,,,,,Positive,,
"Nhân viên thân thiện, nhà hàng phục vụ món ngon. Hỗ trợ nhận và trả phòng nhanh.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,Positive,,
"Khách sạn ok, dịch vụ ổn, nhân viên hỗ trợ tốt. Sàn phòng khi nhận hơi bẩn chút còn lại mọi thứ ok",Positive,,,,,,,Positive,,,Negative,,,,,,,,,,,,,,,,,,Positive,,,,,
"Khách sạn ổn, giá rất là ok heng",Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khách sạn sạch sẽ, view đẹp, trang thiết bị hiện đại. Được nhân viên hỗ trợ tận tình, chu đáo",Positive,,,Positive,,,,,,,,,,,,,,,,,,,,Positive,,,,,Positive,,,,,
"Service tốt, nhân viên nhiệt tình, niềm nở, khách sạn đẹp, sạch sẽ.",,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Khách sạn sạch sẽ, chu đáo. Rất hài lòng",,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Rất thân thiện! Dịch vụ đưa đón sân bay tuy giá có đắt tí, tuy nhiên nhân viên voi cùng thân thiện dù máy bay delay và phải chờ gần 1 tiếng đồng hồ!",,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,,Positive,,,,,
"Check in, out chậm, khách xếp hàng đông nhưng chỉ có 2 nhân viên check in và out, không có nhân viên dẫn lên phòng khi check-in. Booking có ăn sáng nhưng sáng đến ăn thì nhân viên kêu không được ăn sáng, một hồi sau mới cho vào. Nhân viên khu vực lễ tân nói chuyện với khách nên niềm nở và thân thiện hơn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,
"Phòng 917 máy lạnh quá yếu, còn lại thì ổn.",Positive,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,,,,,
"Nhân viên không thân thiện , phân biệt khách hàng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,
"Khách sạn Ok, reception thân thiện, toilet hôi mùi, có thể do lỗi thi công kiến trúc.",Positive,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,,Positive,,,,,
Giấy dán tường của phòng bị ẩm. Chăn gối màu trắng nhưng nhìn bám bụi. Ở tầng 8 hơi ồn vì gần nhà hàng. Giường được ghép từ 2 giường nhỏ.,,,,,,,,,,Negative,Negative,Negative,,,,,,Negative,,,,,,,,,,,,,,,,
"buffet rât phong phú và rất ngon. nhân viên vô cùng thân thiện, dịch vụ chuẩn 5 sao",Positive,,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,Positive,,,Positive,Positive,
"Resort mà không có nổi áo choàng ngủ cho khách, mình book phòng bungalow, bên khách sạn báo phòng bị hỏng không còn đủ được để lưu trú, khách sạn báo hỗ trợ mình đổi phòng khác (như hình), nhận phòng thì phòng cũ, có mùi mốc, bồn tắm đầy xác muỗi (chắc lâu rồi không ai ở phòng này) mình ở 2 đêm mà không hề được dọn phòng, thay khăn tắm, cũng như cho nước uống free (thông thường là 2 chai suối 1 ngày) bữa sáng thì lèo tèo vài món và không ngon, nói chung nếu chọn một nơi có view đẹp thì đây là lựa chọn tốt, còn nếu bạn muốn được nghỉ dưỡng thì nên chọn những khách sạn khác",Neutral,,,,,,,,,Negative,Negative,,,,,Negative,Negative,Negative,,,,,,,,,,,Negative,,,Negative,Negative,
"Điểm cộng: Nhân viên lễ tân vui vẻ, nhiệt tình. Khách sạn có vị trí thuận tiện, đi bộ ra chợ ĐàLạt khá gần. Có thể check in sớm nếu có phòng sẵn. Kháchsạn có cho thuê xe máy với giá 120k/ngày (xe tay ga) Điểm trừ: phòng tắm nhìn có vẻ cũ cũ nên hơi mất cảm tình 1 tẹo :(",,,,,,,,,,,,,,,,,Negative,,,,,,Positive,,,,,,Positive,Positive,,,,
"Tổng quan tạm ổn, vệ sinh phòng chưa tốt... sàn nhà chưa sạch. Khách sạn không có dịch vụ đi kèm nên ra ngoài mua",Neutral,,,,,,,,,,Negative,,,,,,,,,,,Negative,,,,,,,,,,,,
"Điểm cộng: Buffet sáng ok, dù không nhiều món nhưng có sự thay đổi mỗi ngày Điểm trừ: Phòng cách âm không tốt, hành lang có khách qua lại thường xuyên ồn",,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,Positive,Neutral,
"phòng đẹp, view xịn, ăn sáng ngon, đi lại tiện, nhân viên rất nhiệt tình chu đáo. sẽ trở lại nhiều lần nữa",Positive,,,,,,,Positive,,Positive,,,,,,,,,,,,,,,,,,,Positive,Positive,,Positive,,
"Khách sạn này vô cùng thích hợp cho kỳ nghỉ của tôi, phòng ốc sạch sẽ, đầy đủ tiện nghi, dịch vụ tuyệt vời",Positive,,,,,,,,,,Positive,,,,Positive,,,,,,,,,,,,,,,,,,,
Mira cũng gần biển nhưng đi bộ sẽ hơi xa 1 xí nếu có con nhỏ và người già. Phòng hơi bé nhưng đầy đủ tiện nghi.,,,,,,,,,,Negative,,,,,,,,,,,,Positive,,,,,,,,Neutral,,,,
"Phòng ốc tốt, hồ bơi đẹp, phục vụ nhiệt tình, thức ăn ổn, bãi biển không sạch do người dân vứt rác & vệ sinh bừa bãi",,,,,,,,Positive,,,,,,,,,,,,,,,,Positive,Negative,,,,Positive,,,Positive,,
"Rất hài lòng, phòng to rộng sạch sẽ, đồ ăn ngon miệng...",,,,,Positive,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,,,,Positive,,
"Khá tốt cho 1 chuyến nghỉ dưỡng, nhưng lối đi bộ thì hơi xa",Positive,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phòng bungalow có không gian rộng rãi, đặc biệt là khu vực phòng tắm, có mini pool nhỏ rất thú vị. Khu lễ tân cần mở rộng, nâng cập vì nhìn không xứng tầm 4 sao. Đi ngày thường vắng khách nên ăn sáng ít món, nhưng cũng có những món cơ bản. Rất thích bể bơi vì to, rộng. Nhân viên lễ phép. Vị trí xa khu trung tâm nên ra ngoài ăn uống sẽ tốn phí taxi nhiều, có xe nhà thì tiện hơn.",,,Negative,,,,,,,Positive,,,,,,,Positive,,,,,,,Positive,,,,,Positive,Negative,,,Neutral,
"Khách sạn sạch sẽ, cô chủ và nhân viên thân thiện, giá cả phải chăng, nói chung là rất tốt ạ!",Positive,Positive,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Lần đầu tiên mình book phòng trên app, phải nói là quá ưng ý, khách sạn sạch sẽ, thơm tho, phòng hơi nhỏ (giá mình thuê cũng rẻ nên chấp nhận) nhưng vẫn rất đầy đủ tiện nghi, nước nóng, máy sấy, ấm siêu tốc có đủ. Nói chung rất hài lòng với số tiền bỏ ra. Mọi người đi Đà Lạt có thể tham khảo khách sạn này. Trong trung tâm thành phố luôn ạ",,Positive,,Positive,Positive,,,,Positive,Negative,,,,,Positive,,Positive,,,,,,,,,,,,,Positive,,,,
"Khách sạn đẹp, nhân viên nhiệt tình chu đáo, cảnh đẹp, bao biển sạch Mỗi tội hơi xa trung tâm xíu Nói chung rất hài lòng ❤️",Negative,,Positive,,Positive,,,,,,,,,,,,,,,,,,,,Positive,,,,Positive,Negative,,,,
Giá phòng thực sự quá cao so với tiện nghi và phục vụ của resort này. Căn phòng tệ như nhà trọ. ,,,,,,,,Negative,Negative,,,,,,Negative,,,,,,,,,,,,,,Negative,,,,,
Khách sạn rất tuyệt. Đồ ăn sáng phong phú và ngon.,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,
"Khách sạn mới đẹp, phòng rộng tuy nhiên chưa có room service, bữa trưa muốn ăn tại khách sạn phải chờ sau 12h mới có",,,Positive,,,,,Negative,,Positive,,,,,,,,,,,,,,,,,,,,,,,Negative,
"Tuyệt vời, mình còn được tặng quà khi nhận phòng nữa đó, 5* :)",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phòng đẹp nhưng hơi nhỏ, ăn sáng nhiều món, ngon",,,,,,,,,,Neutral,,,,,,,,,,,,,,,,,,,,,,Positive,Positive,
"Vị trí trung tâm, thuận tiện tham quan các địa điểm, gần phố ẩm thực, phòng thoải mái sạch sẽ, lễ tân linh động, có dịch vụ thuê xe máy rất tiện",,,,,,,,,,,Positive,Positive,,,,,,,,,,,,Positive,,,,,Positive,Positive,,,,
"Thái độ lễ tân không tốt , khó chịu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,
"Phòng ốc ok nhưng hơi có mùi ẩm & cũ khi mình tới! Ngày sau đỡ hơn 1 chút. Gần các địa điểm tham quan, tiện đi chơi",,,,,,,,Positive,,,Negative,,,,,,,,,,,,,,,,,,,Positive,,,,
Phòng cách âm không tốt. Đồ ăn không đa dạng và bình thường. Không có bàn ủi. Phải thuê là 20.000 vnđ 1 cái áo/ quần/ 1 lần ủi,,,,,,,,,,Negative,,,,,,Negative,Negative,,,,,,,,,,,,,,,Neutral,Negative,
"Khách sạn gần biển, có chỗ đỗ xe, phòng ốc sạch sẽ, phục vụ tốt và nhiệt tình, view hướng thành phố về đêm nhìn rất đẹp, có thể đi bộ ăn hàng rong gần bãi biển. cà phê dưới tầng trệt khách sạn cũng rất ngon, uống nhiều năm vị vẫn không thay đổi. mình rất hài lòng với TTC",Positive,,,,Positive,,,,,,Positive,,,,,,,,,,,,,Positive,,,,,Positive,Positive,,Positive,,
"Resort tuyệt vời luôn nha mọi người. Nhân viên thân thiện, hỗ trợ. Gia đình mình cực kì hài lòng và hẹn lần sau ra Phú Quốc nhà mình sẽ trải nghiệm tiếp tục ở đây. Gia đình mình rất cám ơn và cho 100 điểm tuyệt đối luôn nhé !@@",Positive,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
Nhân viên không dọn phòng dù đã nhắc nhiều lần,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,
"Khách sạn đẹp, có bãi biển riêng rất tiện, ko phải đi xa. Buffet sáng khá ngon. Sẽ quay lại lần sau",Positive,,Positive,,,,,,,,,,,,,,,,,,,,,Positive,,,,,,,,Positive,,
"Phòng rộng rãi, tuy nhiên phục vụ chưa chu đáo",,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,,Negative,,,,,
Phòng sạch đẹp thoáng mát nhân viên nhiệt tình,,,,,,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,Positive,,,,,
"Nhân viên nhà hàng rất nhiệt tình, lễ nghĩa tốt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Phòng sạch sẽ, đầy đủ tiện nghi. Nhân viên thì quá nhiệt tình, thân thiện, xin gì hay cần giúp gì là ok liền. Check in trước giờ không tính thêm phí. Quá tuyệt vời",Positive,,,,,,,,Positive,,Positive,,,,Positive,,,,,,,,,,,,,,Positive,,,,,
"Mọi thứ đều tệ, phòng không sạch, nội thất hư hỏng",Negative,,,,,,,,,,Negative,,,,,,Negative,,,,,,,,,,,,,,,,,
"Sạch sẽ, thân thiện, nhiệt tình 😚",,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Phòng sạch, trang bị cơ bản. Giá cả hợp lý.",,,,,,,,,Positive,Positive,Positive,,,,,,,,,,,,,,,,,,,,,,,
Mọi thứ đều tốt. Chỉ góp ý là nên dọn rác phần bãi cát trước resort,Positive,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Resort rất đẹp, dịch vụ cực kì ưng ý, mình đến hôm sinh nhật của mình đươcj resort tặng bánh kem",Positive,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Khách sạn mới, sạch sẽ, phòng đơn giản mà đẹp Wifi yếu, nên cải thiện wifi Sẽ quay lại lần sau",Positive,,Positive,Positive,,,,,,Positive,,,,,,,,,,,,,,,,,Negative,,,,,,,
"Mango Bay rất thư giãn, nhân viên tuyệt vời",,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Phòng sạch sẽ, đẹp. Nhân viên rất nhiệt tình, dễ thương !!!",,,,,,,,,,Positive,Positive,,,,,,,,,,,,,,,,,,Positive,,,,,
"Buffe sáng không đa dạng, phải mất gần 30p mới check out xong. 4* thì ok.",Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,Negative,
"Khách sạn vị trí đẹp, nằm ngay trung tâm phố cổ, đi lại tiện, phòng khách sạn sạch sẽ, nhân viên khách sạn rất thân thiện và niềm nở, mấy bạn hướng dấn vài chỗ đi ăn rất ngon. View mình nhìn ra ngoài vô cùng thoáng. Nên trải nghiệm 😍",Positive,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
"Phòng sạch sẽ, gọn gàng. Vị trí thuận lợi đi bộ dạo chợ đêm 3phút là tới. 2 bạn chủ và 2 bác cực kì thân thiện , dễ mến. Trải nghiệm tuyệt vời với chuyến đi đà lạt đã trải qua. Sẽ ghé lại đây nếu có dịp 😁",Positive,,,,Positive,,,,,,Positive,,,,,,,,,,,,,,,,,,Positive,Positive,,,,
Tuyệt vời. Nhân viên phục vụ tốt.,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Khách sạn chất lượng tốt, thiết bị tốt, có điều wifi hơi bị yếu.",,,,,,Positive,,,,,,,,,,,,,,,,Positive,,,,,Negative,,,,,,,
"khách sạn gió quá, phục vụ bữa ăn buổi chiều lâu quá",,,,,,,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,
"Khách sạn quá xa trung tâm và các khu vui chơi, đi lại thật bất tiện. Đặt phòng giừơng King trước 2 tuần mà khi nhận phòng lại phòng có 2 giường đơn ghép lại! Lần đầu ở 1 cái resort xài nệm lò xo! Ngủ không nổi trong khi mình đặt đến 3 đêm! Yêu cầu đổi phòng thì nhân viên không cho, bảo là lót thêm vài lớp nệm là hết đau lưng (nếu vậy sao không làm ngay từ đầu)! Nền của các tầng là gỗ ốp thảm nên phát ra tiếng kêu rất lớn trong khi phòng thì không có cách âm, giữa đêm khuya đang ngủ mà nhân viên kháchsạn chạy rầm rầm như tập trận. Mềm thì rách lỗ chổ! Quảng cáo có hồ bơi nứơc nóng nhưng không cho sử dụng! Hồi bơi ngoài trời thì xung quanh bị bể không đám bứơc vì sợ bị lún! Bực nhất là đang ngủ mà đêm nào nhân viên khách sạn cũng bấm chuông rồi hỏi “anh chị có cần gì ko?!” Nếu cần thì tôi đã gọi xuống tiếp tân rồi! Haizzzz! Nó chung là không bao giờ quay lại!",Negative,,Negative,,,,,Negative,,Negative,,,,,,,,,,Negative,,,,,,,Negative,,Negative,Negative,,,,
"Khách sạn tốt đáng với đồng tiền, sạch sẽ có đồ ăn sáng, nhân viên cực thân thiện",Positive,Positive,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,Positive,
"Khách sạn đẹp, staff nhiệt tình, phòng nhỏ xinh, đẹp, nhưng nên kiểm tra điều hoà kĩ hơn trước khi khách vào phòng vì bị rỉ nước ướt giường, nhưng các bạn staff cũng xử lý rất nhanh. Trải nghiệm tuyệt vời",,,Positive,,Positive,,,,,Positive,,,,,,,,,,Negative,,,,,,,,,Positive,,,,,
"Khách sạn rất sạch sẽ, các anh các chị lễ tân rất dễ thương. Nhân viên rất nhiệt tình. Có dịp sẽ quay lại.",Positive,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,Positive,,,,,
"Phòng tôi ở 418 kế bên là phòng đựng đồ rất ồn ào thời gian từ 10h sáng tới 16h chiều không thể nghỉ ngơi được, phòng cách âm không tốt nghe thấy mọi người đi ngoài hành lang nói chuyện rất to. Máy lạnh không biết có hoạt động không mà rất nóng có phản ánh khách sạn mà không thấy nhân viên lên kiểm tra. Bồn tắm thì vòi sen hư không hoạt động hỏi cô dọn phòng thì nói mất nút gì đó... nói chung không được như ý",,,,,,,,,,Negative,,Negative,,,,,Negative,,,Negative,,,,,,,,,,,,,,
"Phòng gọn gàng, sạch sẽ, dịch vụ chu đáo",,,,,,,,,,,Positive,,,,,,,,,,,,,,,,,,Positive,,,,,
Một kì nghỉ vô cùng tuyệt vời tại Vinpearl Cần Thơ. Mọi thứ đều hoàn hảo.,Positive,,,,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hài lòng về nhân viên và sự phục vụ - Điểm cộng : Toàn bộ nhân viên đều rất thân thiện, nhiệt tình, dễ mến, không gian thoáng, thoải mái, view đẹp, trang trí cũng đẹp, bờ biển rất sạch sẽ - Điểm trừ : Nước có màu hơi vàng, tuy nhiên mình thấy vẫn khá ổn. Một số đồ nội thất hơi cũ, phòng cách âm không tốt, buffet sáng không ngon (mình thấy hầu như resort nào cũng vậy). Tuy vậy nhìn chung mình thấy khá hài lòng với chuyến đi này, chất lượng tương ứng với giá cả.",Positive,Positive,Positive,,Positive,Positive,,,,Negative,,,,,,,Negative,,,Negative,,,,,Positive,,,,Positive,,,Negative,,
